,Notes,Score,evidence
,Video,3,"2min video of new functionality, showing a significant delta from prior."
,"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot) ",3,evidence in GH
,Number of commits,3,in GH (90 for previous group)
,Number of commits: by different people,3,in GH
,Issues reports: there are many,3,29 issues reported
,Issues are being closed,1,evidence in GH
,DOI badge: exists,3,in GH
,"Docs: doco generated, format not ugly",3,in GH
,Docs: what: point descriptions of each class/function (in isolation),3,in gh
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,doc page entries
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,in gh
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,in gh
,Use of version control tools,3,in gh
,Use of style checkers,3,config files in GH showing your config
,Use of code formatters.,3,config files in GH showing your this formatter's config
,Use of syntax checkers.,3,config files iin GH showing this checker's config
,Use of code coverage,1,55%
,Other automated analysis tools,3,codecov and pylint
,Test cases exist,3,dozens of tests and those test cases are more than 30% of the code base
,Test cases are routinely executed,3,E.g. travis-com.com or github actions or something
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,1,Not much details on contribution
,Issues are discussed before they are closed,2,"even if you discuss in slack, need a sumamry statement here"
,Chat channel: exists,0,Link or screenshots
,Test cases: a large proportion of the issues related to handling failing cases.,2,"If a test case fails, open an issue and fix it"
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,in gh - pylint
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,in gh
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,in gh
,Evidence that the members of the team are working across multiple places in the code base,3,commits
,Short release cycles,3,(hard to see in short projects) project members are committing often enough so that everyone can get your work
,"Does your website and documentation provide a clear, high-level overview of your software?",3,
,Does your website and documentation clearly describe the type of user who should use your software?,3,
,Do you publish case studies to show how your software has been used by yourself and others?,3,
,Is the name of your project/software unique?,1,
,Is your project/software name free from trademark violations?,3,checked via tess
,Is your software available as a package that can be deployed without building it?,1,"deployed, not working'"
,Is your software available for free?,3,
,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",3,
,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) or SourceForge (https://sourceforge.net)?",3,
,Is your documentation clearly available on your website or within your software?,3,
,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",2,"examples of use, no quickstart"
,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",3,
,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",3,
,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,0,
,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",1,used as a site; not working
,Do you store your documentation under revision control with your source code?,3,in gh
,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",3,in gh
,"Does your website and documentation describe what support, if any, you provide to users and developers?",0,NA
,Does your project have an e-mail address or forum that is solely for supporting users?,0,no mail address for the team
,Are e-mails to your support e-mail address received by more than one person?,0,No
,Does your project have a ticketing system to manage bug reports and feature requests?,2,https://github.com/ramyasaimullapudi/WolfTrackPlus/projects/1
,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",2,Yes in GH
,Is your software’s architecture and design modular?,3,Yes in GH
,Does your software use an accepted coding standard or convention?,2,https://github.com/ramyasaimullapudi/WolfTrackPlus/blob/main/pylintrc
,Does your software allow data to be imported and exported using open data formats?,0,No
,Does your software allow communications using open communications protocols?,3,Yes
,Is your software cross-platform compatible?,3,Multi-platform
,Does your software adhere to appropriate accessibility conventions or standards?,2,Yes 
,Does your documentation adhere to appropriate accessibility conventions or standards?,2,https://github.com/ramyasaimullapudi/WolfTrackPlus/blob/main/pylintrc
,Is your source code stored in a repository under revision control?,2,Yes in GH
,Is each source code release a snapshot of the repository?,3,https://github.com/ramyasaimullapudi/WolfTrackPlus/releases/tag/v_3.4
,Are releases tagged in the repository?,2,https://github.com/ramyasaimullapudi/WolfTrackPlus/releases/tag/v_3.4
,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",3,Yes
,Do you back-up your repository?,1,Yes in Zenodo
,Do you provide publicly-available instructions for building your software from the source code?,2,Yes in docs
,"Can you build, or package, your software using an automated tool?",2,Yes
,Do you provide publicly-available instructions for deploying your software?,2,"Yes, documentation"
,Does your documentation list all third-party dependencies?,2,Not all but many are there
,Does your documentation list the version number for all third-party dependencies?,1,Yes
,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",1,Yes
,Can you download dependencies using a dependency management tool or package manager?,2,Yes
,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,3,Yes specific directory is there
,Do you have an automated test suite for your software?,0,No
,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,2,Sometimes but not regular
,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",1,No
,Are your test results publicly visible?,2,"Yes, public repo and tests"
,Are all manually-run tests documented?,2,Yes
,"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",1,Not regularly
,Does your website state how many projects and users are associated with your project?,3,Yes clearly
,Do you provide success stories on your website?,1,No
,Do you list your important partners and collaborators on your website,2,Yes
,Do you list your project's publications on your website or link to a resource where these are available?,2,Yes in GH
,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,1,Yes
,Can users subscribe to notifications to changes to your source code repository?,3,Yes if notifications are turned on for github
,"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",1,"Yes open source, governance model is partially followed"
,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",1,"Yes, public repo"
,Do you have a contributions policy?,2,"Yes, contributing.md"
,Is your contributions' policy publicly available?,2,"Yes, publicly available"
,Do contributors keep the copyright/IP of their contributions?,2,Yes
,Does your website and documentation clearly state the copyright owners of your software and documentation?,2,Yes docs folder
,Does each of your source code files include a copyright statement?,2,Not all files
,Does your website and documentation clearly state the licence of your software?,2,"Yes, MIT"
,Is your software released under an open source licence?,3,Yes
,Is your software released under an OSI-approved open-source licence?,3,Yes
,Does each of your source code files include a licence header?,1,Yes
,Do you have a recommended citation for your software?,3,https://github.com/ramyasaimullapudi/WolfTrackPlus/blob/main/LICENSE
,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",2,Yes 
,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",0,No
,"Do you make timely announcements of the deprecation of components, APIs, etc.?",2,Yes
,,209,